id,feature_id,title,description,status,is_blocking,priority,raw_input_count,created_at,updated_at
4d90a164-4006-44bc-b81b-53e21355fc98,f868f46b-a443-4092-afd6-bf796b2a1867,Rework caching for Async builder for Visualization #29 #47,Rework caching in the context of Async builder for Visualization #29,shipped,false,medium,12,2024-12-15 03:54:14,2025-12-05 03:54:14
ccc1d6d4-7de6-42bd-a1f4-ef34a281b6ff,7cb7af96-4dc2-454e-a31f-a112a22e6a1d,Migrate caching for Advanced picker for Visualization #30 #48,Migrate caching in the context of Advanced picker for Visualization #30,workaround,false,high,3,2026-01-16 03:54:14,2026-01-03 03:54:14
abaacb96-8963-44a1-81e7-c2ee970f1ed8,9b307e77-bd92-41a7-aa24-0a25d1366857,Extend caching for Smart picker for Visualization #31 #49,Extend caching in the context of Smart picker for Visualization #31,planned,false,critical,1,2024-12-05 03:54:14,2025-11-05 03:54:14
f4f36d3f-2e99-406b-b391-1bfab49176db,40133448-04de-437a-8e01-f3c0155ee652,Support permissions for Bulk picker for Visualization #32 #50,Support permissions in the context of Bulk picker for Visualization #32,workaround,false,medium,11,2019-06-15 03:54:14,2025-12-20 03:54:14
f3c9fe26-3e28-43d1-a460-ff3c30f0e788,07d59a47-2247-4f84-ba04-4f1f9b1d959e,Add permissions for Custom picker for Visualization #33 #51,Add permissions in the context of Custom picker for Visualization #33,open,false,medium,2,2024-07-31 03:54:14,2026-02-20 03:54:14
54abd375-3eeb-4fc9-b013-a0daca2fccd4,ee5e1960-fe6a-491e-aeb7-06c905a1c948,Improve permissions for Auto picker for Visualization #34 #52,Improve permissions in the context of Auto picker for Visualization #34,open,false,medium,4,2020-09-30 03:54:14,2025-12-10 03:54:14
66ef69b4-ea3e-4383-8b5a-9caa1836a221,b76f00c7-b7a0-4f33-a607-007e8944d3f2,Fix permissions for Enhanced picker for Visualization #35 #53,Fix permissions in the context of Enhanced picker for Visualization #35,workaround,false,low,2,2022-01-06 03:54:14,2026-01-20 03:54:14
9ffb5b23-75fe-4a88-998c-756134613b6f,1a3d21c9-b39b-4f02-9387-b79186b11adc,Enable permissions for Inline picker for Visualization #36 #54,Enable permissions in the context of Inline picker for Visualization #36,planned,false,medium,2,2023-10-02 03:54:14,2025-11-18 03:54:14
17c50dbd-c66d-4f0c-8583-92dcb346e82c,1b6aee0f-c5d8-4e24-9489-704bff90ef46,Enhance permissions for Live picker for Visualization #37 #55,Enhance permissions in the context of Live picker for Visualization #37,workaround,false,high,1,2019-06-09 03:54:14,2025-11-25 03:54:14
f7f1d0e6-cb5b-4674-8337-acc60fe6b2e2,23d92a89-18a1-442b-9392-579031e78934,Optimize permissions for Cached picker for Visualization #38 #56,Optimize permissions in the context of Cached picker for Visualization #38,deferred,false,high,3,2022-08-10 03:54:14,2026-03-03 03:54:14
abaa3e1c-1d14-462f-92c2-47f4c19be74c,0c8c1b80-f4bc-439a-91fc-087c6a27c760,Rework permissions for Async picker for Visualization #39 #57,Rework permissions in the context of Async picker for Visualization #39,open,true,medium,9,2021-06-17 03:54:14,2026-02-09 03:54:14
2c5e27b5-e49a-494d-b8a0-c02b12b72646,77eea086-68fe-42be-b982-1ed034d0684d,Migrate permissions for Advanced navigator for Visualization #40 #58,Migrate permissions in the context of Advanced navigator for Visualization #40,open,false,medium,10,2020-12-15 03:54:14,2026-02-10 03:54:14
25c6b96f-0c36-4acb-b2a8-2d21b57fa372,c48df6f5-7e58-4a87-96d1-4bd464226ed6,Extend permissions for Smart navigator for Visualization #41 #59,Extend permissions in the context of Smart navigator for Visualization #41,shipped,false,medium,10,2022-02-22 03:54:14,2026-01-02 03:54:14
4dc7bfb6-50b7-469c-9d76-a9eb30cc47c1,89fd2b75-9563-4fe8-ac50-2dcc086b7ed3,Support export for Bulk navigator for Visualization #42 #60,Support export in the context of Bulk navigator for Visualization #42,open,false,high,4,2022-04-03 03:54:14,2025-12-07 03:54:14
072448db-8639-4511-b025-a3758ec26915,3bcd4b87-9d88-4bae-86ef-bc2b5154b6df,Add export for Custom navigator for Visualization #43 #61,Add export in the context of Custom navigator for Visualization #43,workaround,false,medium,8,2019-12-02 03:54:14,2026-03-15 03:54:14
e2975c3c-ae04-46ea-b4c3-c8cce482de55,b11ccfda-f232-460b-9801-ebde02cf18e9,Improve export for Auto navigator for Visualization #44 #62,Improve export in the context of Auto navigator for Visualization #44,shipped,false,high,6,2022-08-19 03:54:14,2026-03-20 03:54:14
410c4e9c-873b-4829-81ef-b9e0ceb51167,0d94fd01-304e-4fb2-861d-1508db300ff1,Fix export for Enhanced navigator for Visualization #45 #63,Fix export in the context of Enhanced navigator for Visualization #45,open,true,critical,8,2025-01-30 03:54:14,2025-12-08 03:54:14
5c2bea0d-a811-4bea-9828-4cf06f99a80c,b31c57ec-7acd-4f2a-9bb3-5e53d76529e4,Enable export for Inline navigator for Visualization #46 #64,Enable export in the context of Inline navigator for Visualization #46,wont_do,false,medium,1,2025-11-28 03:54:14,2025-12-04 03:54:14
d79162f9-00fc-4515-add1-11335af7d18c,5d7a8018-d70e-4ed0-8de4-78acb409d52b,Enhance export for Live navigator for Visualization #47 #65,Enhance export in the context of Live navigator for Visualization #47,deferred,true,medium,2,2021-03-14 03:54:14,2026-01-21 03:54:14
fe8208bf-8d84-4abc-abec-ef0f2605a7fa,3c58a259-b50c-47ec-99c6-eeb273a566ba,Optimize export for Cached navigator for Visualization #48 #66,Optimize export in the context of Cached navigator for Visualization #48,open,false,medium,6,2025-05-29 03:54:14,2026-02-02 03:54:14
6a7458a3-f760-4d4f-b571-c9b4dbcec6ad,5e58a4a7-6e13-46dd-8604-650f4393b562,Rework export for Async navigator for Visualization #49 #67,Rework export in the context of Async navigator for Visualization #49,planned,false,low,0,2020-01-10 03:54:14,2026-01-07 03:54:14
a1c6191e-4546-446c-8a14-086e291fbf35,faa4c662-e6c1-42bf-be15-f7623f92ee8e,Migrate export for Advanced wizard for Charts #50 #68,Migrate export in the context of Advanced wizard for Charts #50,open,false,high,2,2022-12-19 03:54:14,2025-12-01 03:54:14
b0653dc6-541a-4b45-b138-fe7ce6a56fc1,b548ed71-3c9b-435f-b355-fdf5e0358a50,Extend export for Smart wizard for Charts #51 #69,Extend export in the context of Smart wizard for Charts #51,open,false,low,8,2024-12-11 03:54:14,2025-10-24 03:54:14
e11e4890-5387-47b7-a004-eb3ce07f1fc1,50e7f833-3434-4caf-a828-72de79d3357c,Support filtering for Bulk wizard for Charts #52 #70,Support filtering in the context of Bulk wizard for Charts #52,open,false,medium,3,2020-09-09 03:54:14,2026-01-04 03:54:14
06517f29-c665-4e31-863c-097d3defe833,bc00aa58-c7fd-48ec-b370-ea13ac9a0253,Add filtering for Custom wizard for Charts #53 #71,Add filtering in the context of Custom wizard for Charts #53,planned,false,critical,12,2022-10-18 03:54:14,2026-01-17 03:54:14
cdf99cf0-5a8c-40db-8bcd-9b6639adb9f7,7e8a6430-1089-4b72-b459-ea9b93d1fc73,Improve filtering for Auto wizard for Charts #54 #72,Improve filtering in the context of Auto wizard for Charts #54,deferred,false,critical,8,2019-08-16 03:54:14,2025-09-22 03:54:14
cc82864b-5d25-4a5d-af8c-0f24ed5613c0,92262498-b327-41a6-9901-975ce84d8ea1,Fix filtering for Enhanced wizard for Charts #55 #73,Fix filtering in the context of Enhanced wizard for Charts #55,planned,false,low,8,2020-02-08 03:54:14,2026-02-23 03:54:14
c8cf885c-6a20-4802-a37e-8a1ecf6d781b,558c3476-6e5a-4458-b6b9-a83b88602823,Enable filtering for Inline wizard for Charts #56 #74,Enable filtering in the context of Inline wizard for Charts #56,open,false,critical,7,2023-04-21 03:54:14,2025-10-10 03:54:14
a8d712bd-7393-438e-8f8a-bf521bab3012,0ee5a921-6658-4463-b747-6f2b42402743,Enhance filtering for Live wizard for Charts #57 #75,Enhance filtering in the context of Live wizard for Charts #57,planned,false,medium,12,2019-11-29 03:54:14,2025-12-15 03:54:14
60f7249b-46c4-49b3-ae09-3407a2d419de,851b1949-16de-456d-809d-d9c2259ae2d3,Optimize filtering for Cached wizard for Charts #58 #76,Optimize filtering in the context of Cached wizard for Charts #58,planned,false,high,6,2024-10-21 03:54:14,2025-12-26 03:54:14
d432217f-da42-41e2-a33b-7933714d8998,9ce57ed8-cd11-4edd-981a-8bb01f51acd6,Rework filtering for Async wizard for Charts #59 #77,Rework filtering in the context of Async wizard for Charts #59,planned,false,critical,6,2021-04-24 03:54:14,2026-02-12 03:54:14
ed44688f-4d51-40e6-a5f7-2a758cfa8b98,e6b2389b-0fd8-4de7-9a0e-840d14d465ee,Migrate filtering for Advanced renderer for Charts #60 #78,Migrate filtering in the context of Advanced renderer for Charts #60,wont_do,false,critical,2,2022-02-15 03:54:14,2026-03-12 03:54:14
3b1961aa-14a8-47bc-ae9a-ac7a4d193748,cce547e7-8cbc-4482-909d-a97b0cadd97b,Extend filtering for Smart renderer for Charts #61 #79,Extend filtering in the context of Smart renderer for Charts #61,planned,false,low,4,2021-01-24 03:54:14,2025-12-05 03:54:14
03964e4e-96b5-4f50-a14b-bd3cd01b1338,9f9ea473-ee84-4869-9e1e-880c8780ad26,Support scheduling for Bulk renderer for Charts #62 #80,Support scheduling in the context of Bulk renderer for Charts #62,wont_do,false,medium,1,2020-03-01 03:54:14,2025-09-26 03:54:14
fffae8da-2063-435c-a8c0-3cc09ecefbba,6ec48bde-bd41-44ac-9f63-53f8f1c4f5d6,Add scheduling for Custom renderer for Charts #63 #81,Add scheduling in the context of Custom renderer for Charts #63,planned,false,medium,1,2021-07-18 03:54:14,2026-01-30 03:54:14
166e3267-2751-4b66-9bfa-d8747e7f7942,74366aa4-78ae-4600-9b88-16bfa721d5a5,Improve scheduling for Auto renderer for Charts #64 #82,Improve scheduling in the context of Auto renderer for Charts #64,shipped,false,medium,4,2021-03-05 03:54:14,2025-12-18 03:54:14
d0b314bc-c1b8-4e77-9d1c-e7cc2142807f,55560a4c-3e2e-424b-b415-6617295b3f86,Fix scheduling for Enhanced renderer for Charts #65 #83,Fix scheduling in the context of Enhanced renderer for Charts #65,planned,false,high,10,2022-09-20 03:54:14,2026-03-27 03:54:14
e0366299-113f-45fc-9c57-9675fe236a94,8215de22-3d08-41d9-b34b-3f55dfe4433b,Enable scheduling for Inline renderer for Charts #66 #84,Enable scheduling in the context of Inline renderer for Charts #66,planned,false,high,11,2025-07-11 03:54:14,2025-10-02 03:54:14
c7045fe0-46c1-4da1-b769-9a7dc8f0c4ad,cfd43d46-06a7-45a7-9625-f67b2c72d14d,Enhance scheduling for Live renderer for Charts #67 #85,Enhance scheduling in the context of Live renderer for Charts #67,open,false,low,9,2022-03-14 03:54:14,2025-12-02 03:54:14
77af217b-5e67-4ede-b045-62cf65f081d8,3f28b6d3-3095-4f7b-99ea-37ae084a6165,Optimize scheduling for Cached renderer for Charts #68 #86,Optimize scheduling in the context of Cached renderer for Charts #68,planned,false,low,2,2025-11-11 03:54:14,2026-01-19 03:54:14
5dadfd35-25f9-43a4-8c9d-da4cd5728be8,de03269f-bc66-4465-a77b-f950923410df,Rework scheduling for Async renderer for Charts #69 #87,Rework scheduling in the context of Async renderer for Charts #69,open,false,medium,4,2020-01-18 03:54:14,2026-03-05 03:54:14
dd2e2091-10ea-4517-80b2-436ac6b009f8,e43f108b-4541-433b-962e-c2a9c4a29237,Migrate scheduling for Advanced connector for Charts #70 #88,Migrate scheduling in the context of Advanced connector for Charts #70,planned,false,high,7,2022-07-22 03:54:14,2025-09-21 03:54:14
f6c5eeb9-620c-459d-9580-ebd351f3a652,4a0936ef-d63c-49e8-965c-e9e968f69b13,Extend scheduling for Smart connector for Charts #71 #89,Extend scheduling in the context of Smart connector for Charts #71,planned,false,medium,2,2025-06-23 03:54:14,2026-02-01 03:54:14
